id,sku,name,price,imageUrl,colorName,colorHex,category,seasons,styles,emotionalWords,role,pass,behavior,movement,finish,palette,ep,es,blend,intensity,contrast,inStock,recommendedQty
product_1767174058918_5,95917.GRRD,Holly Berry Spray L 39'',14.0,"https://images.junipercdn.com/1075/95917-grrd_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Forest Green,#2D5016,accent,"['winter', 'christmas']","['traditional', 'classic', 'formal']","['festive', 'traditional', 'elegant']",accent,2,mid,still,gloss,botanical-green,joy,nostalgia,,"[1, 2]",unified,True,4
product_1767174058918_6,96045.RD,Bittersweet Berry Branch 30.5'',10.5,"https://images.junipercdn.com/1075/96045-rd_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Saddle Brown,#8B4513,accent,"['autumn', 'winter']","['rustic', 'natural', 'farmhouse']","['rustic', 'natural', 'warm']",accent,2,light,sweeping,matte,neutral-mid,nostalgia,trust,,"[1, 2]",unified,True,5
product_1767174058919_7,98895.COGR,Berry Bunch 10'',13.72,"https://images.junipercdn.com/1075/98895-cogr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Golden Yellow,#FFD700,accent,"['spring', 'summer']","['rustic', 'farmhouse', 'cottage', 'spring']","['cheerful', 'delicate', 'spring-like']",accent,1,mid,still,metallic,champagne,joy,peace,,"[1, 2]",unified,True,2
product_1767174058919_8,XF081064.GRRD,Mini Berry Spray 22'',8.4,"https://images.junipercdn.com/1075/xf081064-grrd_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Crimson Red,#CC0000,accent,"['winter', 'fall']","['traditional', 'rustic', 'holiday']","['festive', 'traditional', 'vibrant']",accent,1,mid,sweeping,gloss,neutral-dark,joy,nostalgia,,"[1, 2]",unified,True,2
product_1767174058919_9,XF081074.GR,Mini Berry Bouquet 16'',5.32,"https://images.junipercdn.com/1075/xf081074-gr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Sage Green,#8FA68E,accent,"['spring', 'winter', 'fall']","['modern', 'rustic', 'minimalist', 'traditional']","['natural', 'calming', 'sophisticated']",accent,2,mid,reaching,matte,botanical-green,trust,peace,,"[1, 2]",unified,True,4
product_1767174058918_0,95481.NB,Blueberry Spray 23'',7.7,"https://images.junipercdn.com/1075/95481-nb_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Deep Navy Blue,#2B3A5C,accent,"['fall', 'summer']","['farmhouse', 'rustic', 'traditional', 'natural']","['natural', 'rustic', 'seasonal']",accent,2,mid,still,matte,neutral-dark,trust,nostalgia,,"[1, 2]",unified,True,4
product_1767174058918_1,95482.BU,Berry Stem 19'',10.08,"https://images.junipercdn.com/1075/95482-bu_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Deep Burgundy,#4A1A2C,accent,"['autumn', 'winter']","['traditional', 'rustic', 'elegant']","['sophisticated', 'rich', 'natural']",accent,2,mid,sweeping,matte,neutral-dark,reverence,warmth,,"[1, 2]",unified,True,4
product_1767174058918_2,95482.GR,Berry Stem 19'',10.08,"https://images.junipercdn.com/1075/95482-gr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Powder Green,#A8B894,accent,"['spring', 'fall', 'summer']","['modern', 'minimalist', 'natural', 'farmhouse']","['natural', 'calming', 'sophisticated']",accent,2,mid,sweeping,matte,botanical-green,trust,peace,,"[1, 2]",unified,True,4
product_1767174058918_3,95490.NB,Mulberry Bunch 11'',12.6,"https://images.junipercdn.com/1075/95490-nb_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Dark Navy Blue,#2C3E50,accent,"['autumn', 'summer']","['rustic', 'traditional', 'farmhouse']","['rustic', 'natural', 'rich']",accent,2,mid,still,matte,neutral-dark,nostalgia,trust,,"[1, 2]",unified,True,4
product_1767174058918_4,95915.GRRD,Holly Berry Pick 18.5'',6.02,"https://images.junipercdn.com/1075/95915-grrd_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Forest Green,#2D5B3B,accent,"['winter', 'christmas']","['traditional', 'classic', 'holiday']","['festive', 'traditional', 'elegant']",accent,1,mid,sweeping,gloss,botanical-green,joy,nostalgia,,"[1, 2]",unified,True,4
product_1767174058918_5,95917.GRRD,Holly Berry Spray L 39'',14.0,"https://images.junipercdn.com/1075/95917-grrd_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Forest Green,#2F5233,accent,"['winter', 'christmas']","['traditional', 'rustic', 'classic']","['traditional', 'festive', 'classic']",accent,1,mid,still,gloss,botanical-green,nostalgia,joy,,"[1, 2]",unified,True,4
product_1767174058918_6,96045.RD,Bittersweet Berry Branch 30.5'',10.5,"https://images.junipercdn.com/1075/96045-rd_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Burnt Orange,#CC6633,accent,"['autumn', 'winter']","['rustic', 'traditional', 'farmhouse']","['rustic', 'warm', 'seasonal']",accent,2,light,sweeping,matte,champagne,nostalgia,warmth,,"[1, 2]",unified,True,4
product_1767174058919_7,98895.COGR,Berry Bunch 10'',13.72,"https://images.junipercdn.com/1075/98895-cogr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Sage Green,#9CAF88,accent,"['spring', 'summer']","['garden', 'cottage', 'natural', 'botanical']","['natural', 'organic', 'delicate']",accent,2,light,reaching,matte,botanical-green,trust,trust,,"[1, 2]",unified,True,4
product_1767174058919_8,XF081064.GRRD,Mini Berry Spray 22'',8.4,"https://images.junipercdn.com/1075/xf081064-grrd_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Deep Crimson Red,#CC1F2E,accent,"['spring', 'winter', 'valentine']","['traditional', 'asian', 'dramatic', 'holiday']","['dramatic', 'festive', 'bold', 'romantic']",accent,1,heavy,reaching,matte,neutral-dark,awe,joy,,"[2, 3]",unified,True,2
product_1767174058919_9,XF081074.GR,Mini Berry Bouquet 16'',5.32,"https://images.junipercdn.com/1075/xf081074-gr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Sage Green,#9CAA8B,accent,"['year round', 'winter', 'fall']","['modern', 'farmhouse', 'scandinavian', 'contemporary']","['natural', 'calming', 'sophisticated']",accent,2,mid,reaching,matte,botanical-green,trust,peace,,"[1, 2]",unified,True,4
product_1767174228954_0,94041.BL,Sweet Pea Spray 32'',6.72,"https://images.junipercdn.com/1075/94041-bl_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Violet Purple,#6B46C1,accent,"['spring', 'summer']","['traditional', 'cottage', 'romantic', 'classic']","['elegant', 'sophisticated', 'classic']",accent,2,light,still,matte,neutral-mid,reverence,reverence,,"[1, 2]",unified,True,5
product_1767174228954_1,34020.GR,Twig Branch  31''L.,13.3,"https://images.junipercdn.com/1075/34020-gr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Olive Brown,#8B7355,accent,"['year round', 'spring', 'winter']","['modern', 'rustic', 'minimalist', 'traditional']","['natural', 'architectural', 'organic']",accent,1,light,sweeping,matte,botanical-green,trust,reverence,,"[1, 2]",unified,True,5
product_1767174228954_2,07263.GO,Persimmon Branch 36'',8.4,"https://images.junipercdn.com/1075/07263-go_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Deep Orange,#FF8C00,accent,"['autumn', 'fall']","['rustic', 'traditional', 'harvest']","['warm', 'abundant', 'natural']",accent,2,mid,sweeping,matte,champagne,warmth,joy,,"[1, 2]",unified,True,2
product_1767174228954_3,09816.GOBR,Twig Curly,4.13,"https://images.junipercdn.com/1075/09816-gobr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Cream Ivory,#F5F5DC,accent,"['spring', 'fall', 'summer']","['traditional', 'romantic', 'classic', 'vintage']","['elegant', 'romantic', 'classic']",accent,1,mid,still,matte,neutral-light,reverence,tenderness,,"[1, 2]",unified,True,2
product_1767172206465_26,30253.GR,Uv Onion Leaf Bush 19'',12.6,"https://images.junipercdn.com/1075/30253-gr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Forest Green,#2D5016,filler,"['spring', 'fall', 'summer']","['natural', 'rustic', 'contemporary', 'traditional']","['natural', 'flowing', 'organic']",greenery,2,light,reaching,matte,botanical-green,trust,tenderness,,"[1, 2]",unified,True,5
product_1767172443992_17,95443.GR,Autumnal Leaf 38.5'',12.6,"https://images.junipercdn.com/1075/95443-gr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Forest Green,#2D4A2B,filler,"['spring', 'fall', 'summer']","['natural', 'rustic', 'traditional', 'modern']","['natural', 'fresh', 'organic']",greenery,2,light,sweeping,matte,botanical-green,trust,joy,,"[1, 2]",unified,True,4
product_1767172443992_17,95443.GR,Autumnal Leaf 38.5'',12.6,"https://images.junipercdn.com/1075/95443-gr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Forest Green,#2D5016,filler,"['spring', 'fall', 'summer']","['natural', 'rustic', 'contemporary', 'traditional']","['natural', 'fresh', 'organic']",greenery,2,light,reaching,matte,botanical-green,trust,joy,,"[1, 2]",unified,True,5
product_1767172443992_18,95444.GY,Dusty Miller Spray 26.5'',8.4,"https://images.junipercdn.com/1075/95444-gy_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Sage Green,#8FAA7A,filler,"['spring', 'fall', 'summer']","['modern', 'rustic', 'elegant', 'botanical']","['sophisticated', 'natural', 'calming']",greenery,2,mid,sweeping,matte,botanical-green,reverence,trust,,"[1, 2]",unified,True,4
product_1767172443993_27,95553.GR,Stephanotis Leaf 32'',6.3,"https://images.junipercdn.com/1075/95553-gr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Deep Forest Green,#2D5016,filler,"['spring', 'fall', 'summer']","['traditional', 'rustic', 'botanical', 'modern']","['natural', 'fresh', 'organic']",greenery,2,mid,reaching,gloss,botanical-green,trust,joy,,"[1, 2]",unified,True,6
product_1767016496674_0,95581.LNCR,Peach Blossom Spray L.47'',30.1,"https://images.junipercdn.com/1075/95581-lncr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Champagne Peach,#F5D5B8,filler,"['spring', 'summer']","['romantic', 'traditional', 'elegant', 'vintage']","['elegant', 'romantic', 'delicate', 'soft']",greenery,1,mid,sweeping,metallic,champagne,reverence,tenderness,,"[1, 2]",unified,True,2
product_1767016496674_1,95581.LP,Peach Blossom Spray L.47'',30.1,"https://images.junipercdn.com/1075/95581-lp_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Soft Peachy Pink,#F4A6A6,filler,"['spring', 'summer']","['romantic', 'cottage', 'traditional']","['romantic', 'soft', 'delicate']",greenery,2,mid,sweeping,matte,neutral-mid,tenderness,tenderness,,"[1, 2]",unified,True,4
product_1767016496674_2,95581.WH,Peach Blossom Spray L.47'',30.1,"https://images.junipercdn.com/1075/95581-wh_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Pure White,#FFFFFF,filler,"['spring', 'summer']","['traditional', 'romantic', 'classic', 'garden']","['elegant', 'delicate', 'fresh']",greenery,1,mid,sweeping,matte,neutral-light,reverence,peace,,"[1, 2]",unified,True,4
product_1767016496674_3,95582.LNCR,Peach Blossom Spray M.41'',22.4,"https://images.junipercdn.com/1075/95582-lncr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Soft Peach Pink,#F5C2A8,filler,['spring'],"['romantic', 'traditional', 'cottage', 'elegant']","['romantic', 'elegant', 'soft', 'delicate']",greenery,1,mid,sweeping,matte,neutral-mid,tenderness,reverence,,"[1, 2]",unified,True,2
product_1767016496675_4,95582.LP,Peach Blossom Spray M.41'',22.4,"https://images.junipercdn.com/1075/95582-lp_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Coral Pink,#E8A298,filler,['spring'],"['romantic', 'asian-inspired', 'traditional', 'elegant']","['romantic', 'delicate', 'serene']",greenery,1,mid,sweeping,matte,neutral-mid,tenderness,peace,,"[1, 2]",unified,True,2
product_1767016496675_5,95582.WH,Peach Blossom Spray M.41'',22.4,"https://images.junipercdn.com/1075/95582-wh_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Pure White,#FFFFFF,filler,"['spring', 'summer']","['romantic', 'traditional', 'elegant', 'modern']","['elegant', 'romantic', 'delicate', 'pure']",greenery,1,light,sweeping,matte,neutral-light,reverence,tenderness,,"[1, 2]",unified,True,2
product_1767016496675_6,95583.LNCR,Peach Blossom Spray S.28'',12.6,"https://images.junipercdn.com/1075/95583-lncr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Peach Pink,#F4C2A1,filler,"['spring', 'summer']","['romantic', 'vintage', 'elegant', 'traditional']","['romantic', 'elegant', 'soft', 'vintage']",greenery,1,mid,sweeping,matte,neutral-mid,tenderness,reverence,,"[1, 2]",unified,True,2
product_1767016496675_7,95583.LP,Peach Blossom Spray S.28'',12.6,"https://images.junipercdn.com/1075/95583-lp_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Coral Pink,#E8A298,filler,"['spring', 'summer']","['romantic', 'elegant', 'traditional']","['elegant', 'romantic', 'delicate']",greenery,1,light,sweeping,matte,neutral-mid,reverence,tenderness,,"[1, 2]",unified,True,2
product_1767016496675_8,95583.WH,Peach Blossom Spray S.28'',12.6,"https://images.junipercdn.com/1075/95583-wh_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Pure White,#FFFFFF,filler,"['spring', 'summer']","['cottage', 'traditional', 'romantic']","['fresh', 'elegant', 'natural']",greenery,1,mid,reaching,matte,neutral-light,joy,reverence,,"[1, 2]",unified,True,2
product_1767016496675_9,96348NT.CW,Peach Blossom Spray M.41'',25.2,"https://images.junipercdn.com/1075/96348nt-cw_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Pure White,#FFFFFF,filler,"['all season', 'spring', 'summer']","['traditional', 'romantic', 'classic', 'bridal']","['elegant', 'romantic', 'pure']",greenery,1,mid,sweeping,matte,neutral-light,reverence,tenderness,,"[1, 2]",unified,True,2
product_1767016496676_10,96348NT.LNPC,Peach Blossom Spray M.41'',25.2,"https://images.junipercdn.com/1075/96348nt-lnpc_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Soft Blush Pink,#F4C2C2,filler,"['spring', 'early summer']","['romantic', 'traditional', 'cottage']","['romantic', 'delicate', 'spring-like']",greenery,1,mid,sweeping,matte,neutral-mid,tenderness,peace,,"[1, 2]",unified,True,2
product_1767016496676_11,96348NT.LP,Peach Blossom Spray M.41'',25.2,"https://images.junipercdn.com/1075/96348nt-lp_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Blush Pink,#F4B5C4,filler,"['spring', 'early summer']","['romantic', 'traditional', 'cottage', 'elegant']","['elegant', 'romantic', 'delicate', 'spring-like']",greenery,1,light,sweeping,matte,neutral-mid,reverence,tenderness,,"[1, 2]",unified,True,2
product_1767016496676_12,97024.YL,Forsythia Tall 54'',25.2,"https://images.junipercdn.com/1075/97024-yl_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Golden Yellow,#F4D03F,filler,['spring'],"['rustic', 'traditional', 'cottage', 'natural']","['cheerful', 'fresh', 'hopeful']",greenery,2,light,reaching,metallic,champagne,joy,joy,,"[1, 2]",unified,True,4
product_1767016496676_13,93139.BW,Blossom Peach M. 37'',12.6,"https://images.junipercdn.com/1075/93139-bw_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Soft Gray,#C4B5A0,filler,"['spring', 'winter']","['modern', 'rustic', 'minimalist']","['natural', 'serene', 'sophisticated']",greenery,2,light,reaching,satin,silver,trust,peace,,"[1, 2]",unified,True,2
product_1767016496676_14,93139.SM,Blossom Peach M. 37'',12.6,"https://images.junipercdn.com/1075/93139-sm_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Natural Brown,#8B6F47,filler,['spring'],"['traditional', 'cottage', 'romantic']","['delicate', 'fresh', 'romantic']",greenery,2,light,sweeping,matte,neutral-mid,peace,joy,,"[1, 2]",unified,True,2
product_1767016496676_15,95011.BW,Blossom Peach L. 59.5'' (Bridal Whi,14.0,"https://images.junipercdn.com/1075/95011-bw_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Sage Green,#8BA370,filler,"['spring', 'early summer']","['natural', 'botanical', 'contemporary']","['delicate', 'natural', 'fresh']",greenery,2,light,sweeping,matte,botanical-green,peace,trust,,"[1, 2]",unified,True,5
product_1767016496677_16,95011.SM,Blossom Peach L. 59.5'' (Salmon) (S,14.0,"https://images.junipercdn.com/1075/95011-sm_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Coral Red,#D2524A,filler,"['autumn', 'winter']","['rustic', 'natural', 'traditional']","['natural', 'organic', 'seasonal']",greenery,2,light,sweeping,matte,neutral-mid,trust,trust,,"[1, 2]",unified,True,5
product_1767016496677_17,95012.BW,Blossom Peach With Buds 57'' (Brida,12.04,"https://images.junipercdn.com/1075/95012-bw_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Warm Brown,#8B6F47,filler,"['spring', 'early summer']","['natural', 'rustic', 'farmhouse']","['natural', 'organic', 'delicate']",greenery,2,light,sweeping,matte,neutral-mid,trust,trust,,"[1, 2]",unified,True,5
product_1767016496677_18,95012.SM,Blossom Peach With Buds 57'' (Salmo,12.04,"https://images.junipercdn.com/1075/95012-sm_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Dark Brown,#4A3B2A,filler,"['spring', 'fall', 'summer']","['rustic', 'woodland', 'natural', 'cottage']","['natural', 'delicate', 'rustic']",greenery,2,light,sweeping,matte,neutral-mid,trust,peace,,"[1, 2]",unified,True,4
product_1767016496677_19,95059.PK,Cherry Blossom S. 50'' (Pink) (Pink,12.95,"https://images.junipercdn.com/1075/95059-pk_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Soft Blush Pink,#F4C2C2,filler,['spring'],"['romantic', 'traditional', 'cottage']","['romantic', 'delicate', 'fresh']",greenery,1,light,still,matte,neutral-mid,tenderness,peace,,"[1, 2]",unified,True,3
product_1767016496677_20,95059.WH,Cherry Blossom S. 50'' (White) (Whi,12.95,"https://images.junipercdn.com/1075/95059-wh_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Pure White,#FFFFFF,filler,"['spring', 'summer']","['traditional', 'romantic', 'elegant', 'classic']","['elegant', 'romantic', 'pure', 'sophisticated']",greenery,1,mid,still,matte,neutral-light,reverence,tenderness,,"[1, 2]",unified,True,2
product_1767016496678_21,95060.PK,Cherry Blossom M. 67'' (Pink),23.8,"https://images.junipercdn.com/1075/95060-pk_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Soft Blush Pink,#F4C2C2,filler,['spring'],"['romantic', 'farmhouse', 'cottage', 'traditional']","['delicate', 'romantic', 'fresh', 'springlike']",greenery,1,light,sweeping,matte,neutral-mid,peace,tenderness,,"[1, 2]",unified,True,4
product_1767016496678_22,95060.WH,Cherry Blossom M. 67'' (White) (Whi,23.8,"https://images.junipercdn.com/1075/95060-wh_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Creamy White,#F8F6F0,filler,"['spring', 'summer']","['traditional', 'romantic', 'classic']","['elegant', 'pure', 'serene']",greenery,1,mid,sweeping,matte,neutral-light,reverence,joy,,"[1, 2]",unified,True,2
product_1767016496678_23,95356.CR,Dogwood M. 28'' (Cream),12.6,"https://images.junipercdn.com/1075/95356-cr_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Pure White,#FFFFFF,filler,"['spring', 'summer']","['traditional', 'romantic', 'elegant', 'classic']","['elegant', 'pure', 'romantic', 'fresh']",greenery,1,mid,sweeping,matte,neutral-light,reverence,joy,,"[1, 2]",unified,True,4
product_1767016496678_24,95356.PK,Dogwood M. 28'' (Pink),12.6,"https://images.junipercdn.com/1075/95356-pk_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Peachy Pink,#F4A28C,filler,"['spring', 'summer']","['traditional', 'romantic', 'elegant', 'classic']","['elegant', 'romantic', 'sophisticated']",greenery,1,mid,still,matte,neutral-mid,reverence,tenderness,,"[1, 2]",unified,True,2
product_1767016496678_25,95686.AB,Peach Blossom Spray 43'' (American,31.5,"https://images.junipercdn.com/1075/95686-ab_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Hot Pink,#E91E63,filler,"['spring', 'fall', 'summer']","['tropical', 'mediterranean', 'contemporary']","['vibrant', 'tropical', 'energetic']",greenery,1,mid,sweeping,matte,neutral-mid,joy,joy,,"[1, 2]",unified,True,2
product_1767016496679_26,95686.MV,Peach Blossom Spray 43'' (Mauve),31.5,"https://images.junipercdn.com/1075/95686-mv_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Coral Pink,#F4A6CD,filler,['spring'],"['romantic', 'shabby-chic', 'traditional']","['romantic', 'delicate', 'spring-like']",greenery,1,light,still,matte,neutral-mid,tenderness,peace,,"[1, 2]",unified,True,4
product_1767016496679_27,95686.WH,Peach Blossom Spray 43'' (White) (W,31.5,"https://images.junipercdn.com/1075/95686-wh_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Ivory White,#F8F6F0,filler,"['spring', 'early summer']","['cottage', 'romantic', 'vintage', 'bridal']","['delicate', 'romantic', 'pure', 'ethereal']",greenery,2,light,sweeping,matte,neutral-light,peace,tenderness,,"[1, 2]",unified,True,4
product_1767016496679_28,95686C.AB,Peach Blossom Spray 23'' (American,10.08,"https://images.junipercdn.com/1075/95686c-ab_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Crimson Red,#8B1538,filler,"['spring', 'fall', 'summer']","['traditional', 'cottage', 'romantic']","['bold', 'classic', 'cottage-garden']",greenery,1,mid,still,matte,neutral-dark,joy,nostalgia,,"[1, 2]",unified,True,2
product_1767016496679_29,95773.PC,Quince Blossom 30.5'' (Peach),8.4,"https://images.junipercdn.com/1075/95773-pc_lg.jpg?height=325&width=300&canvas=300,325&fit=bounds",Coral Pink,#E6A4A4,filler,"['spring', 'fall', 'summer']","['bohemian', 'romantic', 'modern']","['romantic', 'soft', 'organic']",greenery,2,mid,sweeping,matte,neutral-mid,tenderness,tenderness,,"[1, 2]",unified,True,4
